,hu_aq_finfishaquaculture_opennetpens_d,hu_aq_shellfishaquaculture_beachseeding_d,hu_aq_shellfishaquaculture_offbottom_d,hu_co_demersalfishing_bottomlongline_d,hu_co_demersalfishing_bottomtrawling_d,hu_co_demersalfishing_shrimptrawling_d,hu_co_demersalfishing_pressurehose_d,hu_co_demersalfishing_inverttrapcom_d_CRAB,hu_co_demersalfishing_inverttrapcom_d_PRAWN,hu_co_demersalfishing_sabletrapcom_d,hu_co_intertidalhandpickingdigging_intertidalhandpickdigcom_d,hu_co_pelagicfishing_gillnetscom_d_HERRING,hu_co_pelagicfishing_gillnetscom_d_SALMON,hu_co_pelagicfishing_pelagicandmidwatertrawls_d,hu_co_pelagicfishing_purseseine_d_HERRING,hu_co_pelagicfishing_purseseine_d_SALMON,hu_co_pelagicfishing_salmontrollcom_d,hu_co_pelagicfishing_trollingrodandreelcomTUNA_d,hu_co_scubadivefishing_scubadivefishingcom_d_GSU,hu_co_scubadivefishing_scubadivefishingcom_d_RSU,hu_rf_demersalfishing_hookandlinerec_d,hu_rf_demersalfishing_traprec_d_CRAB,hu_rf_demersalfishing_traprec_d_PRAWN,hu_rf_intertidalhandpickingdigging_intertidalhandpickdigrec_d,hu_rf_pelagicfishing_trollingrodandreelrec_d,hu_rf_scubadivefishing_scubadivefishingrec_d_ALL,hu_rf_scubadivefishing_scubadivefishingrec_d_RSU,hu_ot_loghandlingstorageandtransportation_logstorageandhand_d,hu_ma_tidalcurrent_tidalstream_d,hu_ma_windpower_windturbinesinshallowtransitionaldeepwaters_d,hu_ot_dischargesanddisposal_pulpandpapermills_d,hu_ot_dischargesanddisposal_sewageeffluentfromterrestrial_d,hu_ot_dischargesanddisposal_terrestrialminerunoff_d,hu_ot_dredging_dredging_d,hu_ot_underwaterinfrastructure_seafloorelectricalcommscables_d,hu_ot_underwaterinfrastructure_seafloorpipelinesfortransoil_d,hu_tr_largevesselscargoandcruiseships_largevesselscargo_d,hu_ih_indigenousharvest_foodsocialceremonial
S2_CC_150,X,X,X,X,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_CC_151,X,X,X,X,na,X,O,X,X,X,O,O,O,X,O,O,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_CC_152,na,na,na,X,X,na,na,X,X,X,na,X,X,X,X,X,X,X,na,na,X,X,X,na,X,na,na,na,X,O,X,X,X,X,X,X,X,O
S2_CC_153,X,O,O,X,na,X,O,X,X,X,O,O,O,X,O,O,X,O,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X
S2_CC_154,X,O,O,X,na,X,O,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
S2_CC_155,X,X,X,X,na,na,na,X,X,X,X,X,X,X,X,X,X,X,na,na,X,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,O
S2_CC_156,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_CC_157,X,X,X,na,na,na,na,X,X,X,X,X,X,na,X,X,X,X,X,X,na,X,X,X,na,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_CC_160,X,O,O,O,na,na,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
S2_CC_161,X,X,X,X,na,na,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
S2_CC_162,X,O,O,X,na,na,O,X,X,X,O,O,O,O,O,O,na,O,O,O,X,X,X,O,O,O,O,X,X,X,X,O,X,X,O,X,O,X
S2_CC_163,X,X,X,X,na,X,X,X,X,X,O,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
S2_CC_164,X,O,O,X,na,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
S2_CC_165,X,X,X,X,na,X,na,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
S2_CC_166,X,X,X,X,na,na,na,X,X,X,X,X,X,na,X,X,X,X,na,na,na,X,X,X,na,na,na,X,X,X,X,X,X,X,X,X,X,O
S2_CC_170,X,X,X,X,na,na,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X
S2_CC_171,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
S2_CC_172,X,X,X,X,na,na,na,X,X,X,na,X,X,X,X,X,X,X,X,X,X,X,X,na,X,X,X,na,X,X,X,X,X,X,X,X,O,O
S2_CC_173,X,X,X,X,na,na,na,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,na,O,O,O,na,X,X,X,X,X,X,X,X,X,X
S2_CC_174,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_CC_180,X,X,X,X,na,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
S2_CC_181,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_CC_182,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_CC_183,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_CC_184,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
