cp,section_region,area_overlap
eco_coarse_ecosections_polygons_d,Dixon Entrance,14676393902.038496
eco_coarse_ecosections_polygons_d,Hecate Strait,17646116149.238422
eco_coarse_ecosections_polygons_d,Johnstone Strait,18934553345.436775
eco_coarse_ecosections_polygons_d,Juan de Fuca Strait,3127891480.2407546
eco_coarse_ecosections_polygons_d,North Coast Fjords,93024689832.68713
eco_coarse_ecosections_polygons_d,Queen Charlotte Sound,37799443053.53467
eco_coarse_ecosections_polygons_d,Queen Charlotte Strait,6950705783.649482
eco_coarse_ecosections_polygons_d,Strait of Georgia,27070651196.699238
eco_coarse_ecosections_polygons_d,Subarctic Pacific,148504613651.21268
eco_coarse_ecosections_polygons_d,Transitional Pacific,170978573266.87143
eco_coarse_ecosections_polygons_d,Vancouver Island Shelf,35896539174.14071
eco_plants_bullkelp_polygons_d,CC,12773273.890464267
eco_plants_bullkelp_polygons_d,HG,23418287.379420564
eco_plants_bullkelp_polygons_d,NC,47812212.842459336
eco_plants_bullkelp_polygons_d,NVI,26412224.238872927
eco_plants_bullkelp_polygons_d,Continental Slope,2129522.520868741
eco_plants_bullkelp_polygons_d,Dixon Entrance,32630854.561910048
eco_plants_bullkelp_polygons_d,Hecate Strait,18073298.657382827
eco_plants_bullkelp_polygons_d,Johnstone Strait,524583.1617009612
eco_plants_bullkelp_polygons_d,North Coast Fjords,12470396.377280558
eco_plants_bullkelp_polygons_d,Queen Charlotte Sound,30198788.77922886
eco_plants_bullkelp_polygons_d,Queen Charlotte Strait,8189439.693789697
eco_plants_bullkelp_polygons_d,Strait of Georgia,170047.47532962606
eco_plants_bullkelp_polygons_d,Vancouver Island Shelf,6029067.125846508
